Stars,Title_of_Review,Base_Review,,,
1.0 out of 5 stars,This is a ripoff. And shame on Amazon for not allowing a refund,"Don't buy this product. I purchased it for my Amazon Kindle Fire which i recently acquired. I saw the reviews and was impressed but I failed to see the dates of the review. I downloaded the product and it does not work on my Kindle Fire (nowhere did it say it was incompatible). I have reached out to the vendor but guess what? It does not exist anymore.To add insult to injury, I have tried to seek a refund from Amazon but its automated system will not allow it. So it seems I have been taken for a ride by the unscrupulous and now non-existent vendor and by Amazon who is still selling a product without any support whatsoever or response from the vendor. Shame on Amazon!!!!",,,
1.0 out of 5 stars,PDF Max Pro doesn't play well with marshmallow,"Get an ""invalid file"" error since Marshmallow.",,,
1.0 out of 5 stars,Worse app ever,I wouldn't even give it a one if I could. I will not even put documents or PDF books in library. I would appreciate my money back. It won't open anything. This may cause me to go back to Barnes and Noble.,,,
1.0 out of 5 stars,I'd recommend trying to email the developer first to ensure you ...,"If I could give it less stars, I would! Does not work on Samsung Galaxy Note 8. Email to developer does not work. Not updated since Dec 2015 and they are still collecting money!!! Many others with the same complaint. If you risk buying this program, I'd recommend trying to email the developer first to ensure you can get support in case it doesn't work. Otherwise, avoid this product.",,,
5.0 out of 5 stars,Amazing For Markup,"I have several apps that can open pdf files on my device, from an ebook reader to an office app, so I was not sure why I would need another pdf reader. When this app popped as the FAOTD though I figured I would try it out; I am extremely impressed.The app really stands out on two fronts:  TTS let's you pick any TTS installed on your device, including custom and paid ones; other pdf apps I have used force you to use the built in Android one or their own voices which are usually terrible. Pdf Max let's you use your own.Second, it's hands down the best pdf app for markup, offering just about everything you could want for document review.  While I personally don't have much use for those features, if you work with pdfs regularly this is the app you want.The app works flawlessly on Nexus 7 2013, with no lag opening or scrolling through pdf.  Overall if you do a lot of document review and markup, you will appreciate what this app has to offer.Thank you dev and Amazon.",,,
2.0 out of 5 stars,Tools work great but loses files,"The app works great for reading and annotating PDFs.  I have a Samsung Galaxy Note 10.1, and I'm finding it fairly intuitive to use the tools to mark up PDFs with the stylus.  But there is a bug or some other problem that has caused me a big headache.  Twice, my marked-up document has disappeared from storage, causing me to have to redo hours' worth of work.  This happened with two different documents.  I carefully saved after each change I made, and I made note of the file name and location, but the next day, in each case, the file was completely gone.  I searched through my entire file system and did not find it, and the storage location itself (PDFMax folder on the internal storage card) had been wiped.Until I find an alternative app, I am saving to my Dropbox account, which is slower and very clunky, and apparently has not saved the changes I re-made after losing the original file.  I really need an app that will reliably save changes and not delete files.  I thought this was it.  It is not.  Too bad, because other than that big deal-breaker, it works very well.",,,
1.0 out of 5 stars,Doesn't Work At All,"Wow...  PDF Files are ""invalid"" and cannot be opened by a PDF App?  I mean, what is the point of this?  Simply total waste of time that ends here: goodbye!",,,
3.0 out of 5 stars,"Alright, but EZ PDF is better.  (One Reason Only)","This app is good at its job. There is still one major flaw. I printed to pdf some things, from my MacMini running Snow Leopard. I chose to encrypt the document with a password. I know the mac is old, so the pdf should have been supported. I get error invalid file. EZ Pdf opens it fine, after putting in password. I do feel the need to encrypt a printout of my network keys, why wouldn't I? I am glad I got this FAOTD. To be an original Apple product, I am shocked! I remember a big point to OS X (back then) was the PDF engine.  I would assume Xcode has this as an option? I don't have any iOS(iTard) devices, I am PRO ANDROID for mobile. Desktop = Mac & OR Linux. I would have been seriously pissed, had I paid full cost for this. I hope they can fix it. As of 9-05-2014. I still don't understand why Google's Play gets updates before Amazon's Appstore?! I complain to Amazon every other month about that. I noticed there is an update right now for PDF Max, but Appstore doesn't have it yet. Changelog Droid is a favorite, that keeps me up to date.",,,
3.0 out of 5 stars,College Student review,"Has a lot of good features. I'm not going to go over them as that's pointless; you can read the description of product or look at other reviews.I'm using a Samsung 8 inch tablet so for some reason when in landscape(horizontal) mode, the view is zoomed in too much so I often have to scroll down a little bit to see text at the bottom of my lecture notes. I cant zoom out so that the entire slide fits the height of my screen.  This is not a problem when in vertical mode though, everything is smaller (as expected), but that's why I prefer to edit in landscape mode. When switching from horizontal to vertical mode (vice versa) it teleports your view to somewhere else on the slide and zooms in...this is really annoying especially when annotating/editing.While free hand draw is amazing for writing out text with a stylus, however, the most important feature: typed text option(they call it freetext) does not even come close. The font color default is white...annoying when your first typing out text. The textbox that forms around the typed text is too big, I hate having to resize it to size of text, should make it automatic like in Adobe PDF. The fill in background color option for the textbox is extremely buggy especially when viewing in edit mode. The color wheel is weird and doesn't properly show no color option. There are no options to change type of font, font size, or highlight/underline (etc) the text you've typed out.There's no ""save as"" option though there is a backup option before each initial edit. The only way to save your file is when you exit the pdf.I can't tap to turn the page, only swiping can do that right now. They should add in the option of ""viewing mode"" aka full screen mode or maybe just have an area of the screen where I can just tap to turn page instead of bringing up the annoying edit UI.Any edit you make on this app does not do well with other pdf apps such as Adobe PDf app as mentioned by another reviewer. The edits are not visible on Adobe PDF. Not sure if the edits are shown on the computer.They should add more options so I can customize it to my liking.I think I'll stick with the native Adobe PDF app to annotate my lecture notes for now because it's simple and reliable.",,,
3.0 out of 5 stars,Nice app except for one BIG thing,"This would be a fantastic app except for one big thing ... highlight, underline and strikethrough all all yellow! That's fine for the highlighter. Strikethrough should be red; underline should be green or bright green. It is impossible to see either of these two on a white background (not all pages are viewable in night mode) and this is how other apps like Adobe do it.Currently, to use underline or strikethrough, you longpress on the word, drag the tabs and then tap on underline or strikethrough. Then you have to tap elsewhere on the page; and then retap the word so it in an editing box, select the color pallete and set the strikethrough or underline color ... EVERY TIME!There are no options to set the default colors of these three actions, and that's what is keeping it from being a great app.",,,
